"date","change","deposits","withdrawals"
2007-04-13,8049,22279,14230
2007-04-16,-2403,42429,44832
2007-04-17,19485,58054,38570
2007-04-18,-4966,17217,22182
2007-04-19,-12778,68280,81058
2007-04-20,3886,19931,16044
2007-04-23,18607,26392,7785
2007-04-24,43609,51796,8187
2007-04-25,15637,29105,13468
2007-04-26,-11082,70112,81195
2007-04-27,6917,22580,15663
2007-04-30,34955,77797,42842
2007-05-01,-6988,33161,40149
2007-05-02,6880,15646,8766
2007-05-03,-39897,59053,98950
2007-05-04,-433,11812,12245
2007-05-07,1687,12563,10876
2007-05-08,-5198,4018,9216
2007-05-09,-3978,9764,13742
2007-05-10,-13361,56092,69453
2007-05-11,-1679,7191,8870
2007-05-14,4420,12631,8210
2007-05-15,-41810,57402,99212
2007-05-16,3174,16881,13707
2007-05-17,-5006,63811,68817
2007-05-18,-1472,9225,10697
2007-05-21,3629,11630,8002
2007-05-22,-4254,3922,8176
2007-05-23,-4654,8778,13432
2007-05-24,-982,69724,70705
2007-05-25,-44,7059,7103
2007-05-29,6385,13953,7568
2007-05-30,-3208,7159,10368
2007-05-31,9200,115505,106306
2007-06-01,-18212,46235,64447
2007-06-04,2580,12797,10217
2007-06-05,6379,15920,9540
2007-06-06,4706,11690,6983
2007-06-07,-8882,64706,73589
2007-06-08,675,7325,6649
2007-06-11,4995,11737,6742
2007-06-12,73,6566,6493
2007-06-13,-861,11865,12726
2007-06-14,-9034,70228,79262
2007-06-15,21528,77529,56001
2007-06-18,15093,22879,7786
2007-06-19,14456,22063,7607
2007-06-20,5454,17464,12010
2007-06-21,-16544,64583,81127
2007-06-22,4675,11374,6700
2007-06-25,7012,13389,6377
2007-06-26,-1318,5593,6911
2007-06-27,-2705,10924,13629
2007-06-28,-12412,64983,77395
2007-06-29,-18580,11588,30168
2007-07-02,8047,62895,54848
2007-07-03,-25014,5606,30621
2007-07-05,2156,71602,69445
2007-07-06,-954,7283,8236
2007-07-09,3963,11235,7272
2007-07-10,-3830,3437,7267
2007-07-11,-2156,10039,12194
2007-07-12,-994,61245,62239
2007-07-13,-1773,10406,12179
2007-07-16,18610,33910,15300
2007-07-17,-2872,4433,7304
2007-07-18,-1695,9740,11436
2007-07-19,2019,62239,60220
2007-07-20,-458,6447,6905
2007-07-23,4908,11086,6178
2007-07-24,-3262,3616,6879
2007-07-25,-3591,8912,12503
2007-07-26,9405,72067,62662
2007-07-27,-607,8676,9284
2007-07-30,3910,12259,8349
2007-07-31,16319,53329,37010
2007-08-01,-20730,19775,40505
2007-08-02,22434,86668,64234
2007-08-03,-18575,9509,28084
2007-08-06,3443,11180,7737
2007-08-07,-5044,3961,9005
2007-08-08,-3477,10041,13518
